Fecha;Origen;Destino;Viajes
01-03-2020;Cerrillos;Cerrillos;2026
01-03-2020;Cerrillos;Cerro Navia;31
01-03-2020;Cerrillos;Conchali;84
01-03-2020;Cerrillos;El Bosque;85
01-03-2020;Cerrillos;Estacion Central;1218
01-03-2020;Cerrillos;Huechuraba;18
01-03-2020;Cerrillos;Independencia;85
01-03-2020;Cerrillos;La Cisterna;238
01-03-2020;Cerrillos;La Florida;267
01-03-2020;Cerrillos;La Granja;37
01-03-2020;Cerrillos;La Pintana;30
01-03-2020;Cerrillos;La Reina;150
01-03-2020;Cerrillos;Las Condes;406
01-03-2020;Cerrillos;Lo Barnechea;31
01-03-2020;Cerrillos;Lo Espejo;545
01-03-2020;Cerrillos;Lo Prado;122
01-03-2020;Cerrillos;Macul;71
01-03-2020;Cerrillos;Maipu;2175
01-03-2020;Cerrillos;Nunoa;455
01-03-2020;Cerrillos;Pedro Aguirre Cerda;216
01-03-2020;Cerrillos;Penalolen;103
01-03-2020;Cerrillos;Providencia;802
01-03-2020;Cerrillos;Pudahuel;94
01-03-2020;Cerrillos;Puente Alto;123
01-03-2020;Cerrillos;Quilicura;77
01-03-2020;Cerrillos;Quinta Normal;114
01-03-2020;Cerrillos;Recoleta;216
01-03-2020;Cerrillos;Renca;66
01-03-2020;Cerrillos;San Bernardo;122
01-03-2020;Cerrillos;San Joaquin;104
01-03-2020;Cerrillos;San Miguel;234
01-03-2020;Cerrillos;San Ramon;51
01-03-2020;Cerrillos;Santiago;2059
01-03-2020;Cerrillos;Vitacura;40
01-03-2020;Cerro Navia;Cerrillos;33
01-03-2020;Cerro Navia;Cerro Navia;1913
01-03-2020;Cerro Navia;Conchali;54
01-03-2020;Cerro Navia;El Bosque;29
01-03-2020;Cerro Navia;Estacion Central;932
01-03-2020;Cerro Navia;Huechuraba;35
01-03-2020;Cerro Navia;Independencia;80
01-03-2020;Cerro Navia;La Cisterna;98
01-03-2020;Cerro Navia;La Florida;263
01-03-2020;Cerro Navia;La Granja;6
01-03-2020;Cerro Navia;La Pintana;18
01-03-2020;Cerro Navia;La Reina;87
01-03-2020;Cerro Navia;Las Condes;434
01-03-2020;Cerro Navia;Lo Barnechea;52
01-03-2020;Cerro Navia;Lo Espejo;28
01-03-2020;Cerro Navia;Lo Prado;864
01-03-2020;Cerro Navia;Macul;90
01-03-2020;Cerro Navia;Maipu;426
01-03-2020;Cerro Navia;Nunoa;207
01-03-2020;Cerro Navia;Pedro Aguirre Cerda;42
01-03-2020;Cerro Navia;Penalolen;96
01-03-2020;Cerro Navia;Providencia;809
01-03-2020;Cerro Navia;Pudahuel;1690
01-03-2020;Cerro Navia;Puente Alto;144
01-03-2020;Cerro Navia;Quilicura;102
01-03-2020;Cerro Navia;Quinta Normal;975
01-03-2020;Cerro Navia;Recoleta;207
01-03-2020;Cerro Navia;Renca;170
01-03-2020;Cerro Navia;San Bernardo;60
01-03-2020;Cerro Navia;San Joaquin;46
01-03-2020;Cerro Navia;San Miguel;81
01-03-2020;Cerro Navia;San Ramon;24
01-03-2020;Cerro Navia;Santiago;3020
01-03-2020;Cerro Navia;Vitacura;131
01-03-2020;Conchali;Cerrillos;57
